index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
579	35	22	B2-A2	B2-A1	1.3806706114	0.9861932939	1.185	1.388	1.108	2.044	2.293	3.432	6	6	0.889	0.92	5.07	5.07	7	5	0	0	TRUE	FALSE
580	39	33	B2-A2	B2-A1	1.1834319527	0.4930966469	1.701	1.42	0.873	1.716	2.574	3.136	6	6	0.608	3.526	5.07	4.056	6	2	1	0	TRUE	TRUE
581	7	9	A1-B1	A1-B2	1.3803983435	0	1.7	1.935	1.654	2.246	3.354	4.181	6	6	0.531	NA	5.071	4.056	7	0	0	0	TRUE	TRUE
582	8	10	A1-B1	A1-B2	1.3806706114	0.2465483235	1.139	2.59	1.498	0.889	2.637	3.479	6	6	0.562	3.042	5.07	4.056	7	1	0	0	TRUE	TRUE
583	17	13	A1-B1	A1-B2	1.1551790528	0.7889546351	1.092	1.123	1.965	1.108	3.057	2.231	6	6	0.686	1.81	5.194	5.07	6	4	0	0	TRUE	FALSE
584	37	30	A1-B1	A1-B2	1.3806706114	1.3806706114	1.513	1.81	1.263	1.56	2.776	3.37	6	6	0.64	1.575	5.07	5.07	7	7	0	0	TRUE	FALSE
585	40	32	A1-B1	A1-B2	1.1834319527	1.5779092702	0.873	1.498	1.373	0.998	2.246	2.496	6	6	0.78	2.683	5.07	5.07	6	8	0	0	TRUE	FALSE
586	2	1	A2-B2	A2-B1	1.3806706114	0.2465483235	1.56	4.368	1.404	1.326	2.964	5.694	6	6	0.67	3.635	5.07	4.056	7	1	0	1	TRUE	TRUE
587	11	16	A2-B2	A2-B1	1.1834319527	0.4930966469	1.529	1.311	2.043	1.216	3.572	2.527	6	6	0.858	2.403	5.07	4.056	6	2	0	0	TRUE	TRUE
588	12	26	A2-B2	A2-B1	1.1834319527	0.2465483235	2.215	1.544	1.654	1.56	3.869	3.104	6	6	0.655	3.869	5.07	4.056	6	1	0	0	TRUE	TRUE
589	14	31	A2-B2	A2-B1	1.1831985802	0.5917159763	3.089	2.184	1.623	1.201	4.712	3.385	6	6	1.233	2.137	5.071	5.07	6	3	0	0	TRUE	FALSE
590	24	39	A2-B2	A2-B1	0.5917159763	0.4930966469	5.351	2.465	2.122	1.81	7.473	4.275	6	6	0.577	2.122	5.07	4.056	3	2	0	0	TRUE	TRUE
591	5	19	B1-A1	B1-A2	1.1834319527	0.4930966469	3.245	1.903	1.233	1.31	4.478	3.213	6	6	1.077	2.449	5.07	4.056	6	2	6	0	TRUE	TRUE
592	6	28	B1-A1	B1-A2	0.9861932939	1.5779092702	1.435	1.279	0.952	0.873	2.387	2.152	6	6	0.904	1.591	5.07	5.07	5	8	0	0	TRUE	FALSE
593	15	35	B1-A1	B1-A2	1.1583011583	0.2465483235	2.324	0.999	2.06	0.764	4.384	1.763	6	6	0.671	3.9	5.18	4.056	6	1	0	0	TRUE	TRUE
594	18	36	B1-A1	B1-A2	1.3806706114	0	1.17	1.046	1.216	0.702	2.386	1.748	6	6	0.796	NA	5.07	4.057	7	0	0	0	TRUE	TRUE
595	25	38	B1-A1	B1-A2	1.1834319527	1.5779092702	1.232	1.638	1.389	1.264	2.621	2.902	6	6	0.702	0.905	5.07	5.07	6	8	0	0	TRUE	FALSE
596	20	3	B2-A2	B2-A1	1.1834319527	1.9723865878	0.889	1.123	1.435	1.498	2.324	2.621	6	6	0.811	0.811	5.07	5.07	6	10	0	0	TRUE	FALSE
