index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
704	28	38	A1-B1	A1-B2	1.183431953	0.246548323	1.419	0.796	1.202	1.138	2.621	1.934	6	6	0.094	0.171	5.070	4.056	6	1	1	4	TRUE	TRUE
705	37	40	A1-B1	A1-B2	1.971997634	0.788954635	0.577	0.624	1.186	0.998	1.763	1.622	6	6	0.047	0.094	5.071	5.070	10	4	1	6	TRUE	FALSE
706	7	1	A2-B2	A2-B1	1.57790927	0.591715976	0.468	6.412	1.186	0.905	1.654	7.317	6	6	0.312	0.078	5.070	5.070	8	3	2	9	TRUE	FALSE
707	12	13	A2-B2	A2-B1	1.77479787	0.493096647	1.419	0.483	1.514	1.217	2.933	1.700	6	6	0.063	0.203	5.071	4.056	9	2	6	11	TRUE	TRUE
708	17	25	A2-B2	A2-B1	2.169625247	0.493096647	0.639	1.372	1.389	1.857	2.028	3.229	6	6	0.202	0.078	5.070	4.056	11	2	3	5	TRUE	TRUE
709	31	30	A2-B2	A2-B1	2.169625247	1.183431953	0.890	1.419	0.936	2.231	1.826	3.650	6	6	0.172	0.078	5.070	5.070	11	6	2	3	TRUE	FALSE
710	32	33	A2-B2	A2-B1	2.366863905	0.246548323	1.092	0.593	1.014	1.030	2.106	1.623	6	6	0.125	0.280	5.070	4.056	12	1	1	14	TRUE	TRUE
711	8	3	B1-A2	B1-A1	1.77479787	0.493096647	0.468	0.452	1.311	1.201	1.779	1.653	6	6	0.328	0.016	5.071	4.056	9	2	2	8	TRUE	TRUE
712	10	5	B1-A2	B1-A1	2.162799843	0.246548323	0.671	0.639	1.014	1.061	1.685	1.700	6	6	0.062	0.156	5.086	4.056	11	1	5	4	TRUE	TRUE
713	26	11	B1-A2	B1-A1	1.775147929	0.986193294	0.765	0.499	0.982	1.467	1.747	1.966	6	6	0.047	0.312	5.070	5.070	9	5	2	6	TRUE	FALSE
714	27	14	B1-A2	B1-A1	1.95427008	0.591715976	1.685	0.873	1.170	1.092	2.855	1.965	6	6	0.312	0.562	5.117	5.070	10	3	3	9	TRUE	FALSE
715	34	35	B1-A2	B1-A1	1.57790927	0.591715976	0.593	0.514	0.904	0.968	1.497	1.482	6	6	0.109	0.296	5.070	5.070	8	3	5	3	TRUE	FALSE
716	2	9	B2-A1	B2-A2	2.169625247	1.775147929	1.373	0.936	1.295	1.606	2.668	2.542	6	6	0.156	0.359	5.070	5.070	11	9	4	5	TRUE	FALSE
717	6	16	B2-A1	B2-A2	1.972386588	0.788954635	0.499	0.452	1.014	1.014	1.513	1.466	6	6	0.140	0.203	5.070	5.070	10	4	2	13	TRUE	FALSE
718	23	19	B2-A1	B2-A2	1.972386588	2.564102564	2.590	0.827	1.466	0.936	4.056	1.763	6	6	0.063	0.078	5.070	5.070	10	13	2	5	TRUE	FALSE
719	29	21	B2-A1	B2-A2	1.972386588	0.493096647	0.702	1.076	1.357	1.233	2.059	2.309	6	6	0.109	0.125	5.070	4.056	10	2	4	9	TRUE	TRUE
720	39	24	B2-A1	B2-A2	1.972386588	0.492975105	0.670	0.608	0.936	1.701	1.606	2.309	6	6	0.032	0.297	5.070	4.057	10	2	3	9	TRUE	TRUE
721	15	4	A1-B1	A1-B2	2.169625247	0.591715976	1.076	1.576	0.983	1.108	2.059	2.684	6	6	0.062	0.234	5.070	5.070	11	3	2	6	TRUE	FALSE
722	20	18	A1-B1	A1-B2	1.972386588	0.493096647	0.858	1.045	1.233	1.389	2.091	2.434	6	6	0.078	0.156	5.070	4.056	10	2	3	7	TRUE	TRUE
723	22	36	A1-B1	A1-B2	1.972386588	0.246548323	0.858	0.671	1.404	1.076	2.262	1.747	6	6	0.062	0.015	5.070	4.056	10	1	2	11	TRUE	TRUE
724	28	38	A1-B1	A1-B2	1.775147929	0.788954635	1.186	0.624	1.154	0.998	2.340	1.622	6	6	0.062	0.109	5.070	5.070	9	4	2	4	TRUE	FALSE
725	37	40	A1-B1	A1-B2	1.972386588	0.493096647	0.546	0.499	0.951	0.952	1.497	1.451	6	6	0.031	0.140	5.070	4.056	10	2	3	10	TRUE	TRUE
726	7	1	A2-B2	A2-B1	1.775147929	0.493096647	0.390	3.213	1.061	1.045	1.451	4.258	6	6	0.390	0.265	5.070	4.056	9	2	4	8	TRUE	TRUE
727	12	13	A2-B2	A2-B1	1.972386588	0	0.437	0.577	1.310	1.279	1.747	1.856	6	6	0.344	NA	5.070	4.056	10	0	3	9	TRUE	TRUE
728	17	25	A2-B2	A2-B1	1.972386588	0.589970501	0.889	0.718	1.248	1.747	2.137	2.465	6	6	0.156	0.109	5.070	5.085	10	3	1	9	TRUE	FALSE
729	31	30	A2-B2	A2-B1	1.972386588	1.380670611	3.603	0.530	0.843	1.326	4.446	1.856	6	6	0.032	0.093	5.070	5.070	10	7	5	2	TRUE	FALSE
730	32	33	A2-B2	A2-B1	1.775147929	0.591715976	0.531	0.655	0.951	0.905	1.482	1.560	6	6	0.016	0.250	5.070	5.070	9	3	3	9	TRUE	FALSE
731	8	3	B1-A2	B1-A1	1.972386588	0.246548323	1.232	0.889	1.217	1.186	2.449	2.075	6	6	0.140	0.218	5.070	4.056	10	1	1	6	TRUE	TRUE
732	10	5	B1-A2	B1-A1	1.577598107	0.591715976	0.936	0.843	0.921	1.201	1.857	2.044	6	6	0.078	0.078	5.071	5.070	8	3	4	12	TRUE	FALSE
733	26	11	B1-A2	B1-A1	1.972386588	0.246548323	0.671	0.780	1.341	1.076	2.012	1.856	6	6	0.047	0.437	5.070	4.056	10	1	5	9	TRUE	TRUE
734	27	14	B1-A2	B1-A1	1.972386588	0.788954635	0.640	0.734	1.029	1.029	1.669	1.763	6	6	0.109	0.328	5.070	5.070	10	4	2	5	TRUE	FALSE
735	34	35	B1-A2	B1-A1	2.169625247	0.788954635	0.764	0.562	1.123	0.936	1.887	1.498	6	6	0.031	0.093	5.070	5.070	11	4	2	5	TRUE	FALSE
736	2	9	B2-A1	B2-A2	1.971997634	1.183431953	0.718	0.608	0.936	1.154	1.654	1.762	6	6	0.125	0.297	5.071	5.070	10	6	0	10	TRUE	FALSE
737	6	16	B2-A1	B2-A2	1.57790927	1.183431953	0.951	0.561	1.077	1.077	2.028	1.638	6	6	0.046	0.140	5.070	5.070	8	6	5	10	TRUE	FALSE
738	23	19	B2-A1	B2-A2	1.775147929	0.788954635	0.514	0.749	1.233	1.030	1.747	1.779	6	6	0.171	0.125	5.070	5.070	9	4	3	3	TRUE	FALSE
739	29	21	B2-A1	B2-A2	1.57790927	0.986193294	0.998	0.967	1.061	1.279	2.059	2.246	6	6	0.109	0.094	5.070	5.070	8	5	3	10	TRUE	FALSE
740	39	24	B2-A1	B2-A2	1.972386588	0.591715976	0.733	0.437	0.874	1.653	1.607	2.090	6	6	0.047	0.156	5.070	5.070	10	3	1	6	TRUE	FALSE
741	7	4	A1-B1	A1-B2	2.169625247	0.493096647	0.780	0.437	0.936	1.045	1.716	1.482	6	6	0.078	0.249	5.070	4.056	11	2	2	12	TRUE	TRUE
742	13	21	A1-B1	A1-B2	1.775147929	1.144601297	0.577	0.811	1.108	0.920	1.685	1.731	6	6	0.093	0.078	5.070	5.242	9	6	3	6	TRUE	FALSE
743	23	24	A1-B1	A1-B2	1.775147929	0.493096647	1.263	1.622	0.967	1.202	2.230	2.824	6	6	0.359	0.110	5.070	4.056	9	2	3	8	TRUE	TRUE
744	35	32	A1-B1	A1-B2	1.972386588	0.986193294	0.577	0.827	0.967	0.936	1.544	1.763	6	6	0.094	0.015	5.070	5.070	10	5	2	7	TRUE	FALSE
